# Track con ALZADO de diseno (profile_editor):
# planta resuelta + rasantes y acuerdos parabolicos
# kappa_1pm,elev_m,kerb,peralte_rad,semiancho_m (seg 4.0 m)
0.012107,3.23,1,0.0849,4.58
0.012231,3.19,1,0.0862,4.57
0.012379,3.14,1,0.0876,4.56
0.012607,3.09,1,0.0890,4.54
0.012973,3.04,1,0.0908,4.54
0.013175,2.99,1,0.0930,4.54
0.013527,2.94,1,0.0954,4.55
0.013920,2.89,1,0.0974,4.56
0.014402,2.84,1,0.0984,4.58
0.014790,2.80,1,0.0981,4.61
0.014635,2.75,1,0.0958,4.61
0.013980,2.70,1,0.0901,4.58
0.012837,2.65,1,0.0816,4.54
0.011188,2.60,1,0.0709,4.50
0.008222,2.55,1,0.0586,4.50
0.005970,2.50,1,0.0457,4.51
0.004019,2.46,1,0.0331,4.52
0.002400,2.44,0,0.0217,4.54
0.001060,2.43,0,0.0132,4.57
0.000196,2.43,0,0.0067,4.59
-0.000137,2.45,0,0.0000,4.60
-0.000347,2.49,0,0.0000,4.61
-0.000461,2.54,0,0.0000,4.61
-0.000492,2.61,0,0.0000,4.61
-0.000394,2.69,0,0.0000,4.62
-0.000218,2.78,0,0.0000,4.62
-0.000039,2.89,0,0.0000,4.63
0.000077,3.02,0,-0.0054,4.63
-0.000366,3.16,0,-0.0100,4.64
-0.001486,3.31,0,-0.0171,4.64
-0.003018,3.48,0,-0.0271,4.64
-0.004975,3.66,1,-0.0388,4.65
-0.007290,3.86,1,-0.0510,4.65
-0.010079,4.08,1,-0.0626,4.64
-0.011603,4.31,1,-0.0726,4.63
-0.012559,4.54,1,-0.0805,4.64
-0.013039,4.78,1,-0.0856,4.68
-0.013068,5.01,1,-0.0878,4.73
-0.012829,5.24,1,-0.0882,4.73
-0.012460,5.48,1,-0.0877,4.72
-0.012232,5.71,1,-0.0865,4.69
-0.012048,5.95,1,-0.0853,4.66
-0.012059,6.18,1,-0.0842,4.65
-0.011846,6.42,1,-0.0836,4.64
-0.011787,6.65,1,-0.0833,4.65
-0.011794,6.88,1,-0.0832,4.67
-0.011827,7.12,1,-0.0830,4.70
-0.011965,7.35,1,-0.0832,4.70
-0.011885,7.59,1,-0.0835,4.69
-0.011945,7.82,1,-0.0839,4.67
-0.012002,8.05,1,-0.0843,4.66
-0.012062,8.29,1,-0.0847,4.67
-0.012183,8.52,1,-0.0851,4.68
-0.012256,8.76,1,-0.0852,4.69
-0.012333,8.99,1,-0.0847,4.68
-0.012293,9.23,1,-0.0827,4.67
-0.012063,9.46,1,-0.0792,4.65
-0.011462,9.69,1,-0.0741,4.64
-0.010122,9.93,1,-0.0674,4.62
-0.008705,10.16,1,-0.0591,4.62
-0.007152,10.40,1,-0.0502,4.63
-0.005565,10.63,1,-0.0415,4.64
-0.004077,10.87,1,-0.0342,4.66
-0.003126,11.10,0,-0.0284,4.67
-0.002785,11.33,0,-0.0246,4.68
-0.002749,11.57,0,-0.0224,4.68
-0.002973,11.80,0,-0.0215,4.68
-0.003367,12.04,0,-0.0212,4.67
-0.003365,12.27,0,-0.0206,4.67
-0.003166,12.50,0,-0.0192,4.66
-0.002779,12.74,0,-0.0173,4.63
-0.002207,12.97,0,-0.0151,4.59
-0.001322,13.17,0,-0.0135,4.56
-0.001063,13.35,0,-0.0131,4.53
-0.001210,13.50,0,-0.0150,4.52
-0.001746,13.63,0,-0.0189,4.51
-0.002790,13.73,0,-0.0246,4.49
-0.004691,13.81,1,-0.0313,4.48
-0.006031,13.87,1,-0.0381,4.45
-0.007064,13.90,1,-0.0440,4.42
-0.007747,13.91,1,-0.0483,4.41
-0.008051,13.89,1,-0.0501,4.48
-0.007650,13.85,1,-0.0500,4.55
-0.007099,13.81,1,-0.0482,4.58
-0.006500,13.76,1,-0.0450,4.57
-0.005887,13.71,1,-0.0409,4.56
-0.005280,13.67,1,-0.0366,4.55
-0.004508,13.62,1,-0.0325,4.53
-0.003933,13.57,0,-0.0286,4.52
-0.003406,13.53,0,-0.0252,4.51
-0.002952,13.48,0,-0.0226,4.49
-0.002657,13.44,0,-0.0208,4.49
-0.002508,13.39,0,-0.0200,4.48
-0.002593,13.34,0,-0.0200,4.48
-0.002787,13.30,0,-0.0207,4.47
-0.003060,13.25,0,-0.0220,4.47
-0.003423,13.20,0,-0.0238,4.46
-0.003700,13.16,0,-0.0257,4.45
-0.003979,13.11,0,-0.0280,4.43
-0.004254,13.06,1,-0.0305,4.42
-0.004529,13.02,1,-0.0333,4.42
-0.005022,12.97,1,-0.0366,4.42
-0.005559,12.93,1,-0.0405,4.43
-0.006224,12.88,1,-0.0453,4.43
-0.007001,12.83,1,-0.0502,4.43
-0.007872,12.79,1,-0.0543,4.42
-0.009108,12.74,1,-0.0570,4.40
-0.009412,12.69,1,-0.0577,4.40
-0.009127,12.65,1,-0.0547,4.39
-0.008284,12.60,1,-0.0486,4.39
-0.006904,12.55,1,-0.0397,4.39
-0.003984,12.51,0,-0.0295,4.39
-0.001801,12.46,0,-0.0192,4.40
-0.000223,12.41,0,-0.0105,4.42
0.000781,12.37,0,-0.0043,4.43
0.001166,12.32,0,0.0000,4.44
0.000445,12.28,0,0.0000,4.46
-0.000674,12.23,0,-0.0067,4.47
-0.001782,12.18,0,-0.0121,4.49
-0.002800,12.14,0,-0.0183,4.50
-0.003818,12.09,0,-0.0243,4.52
-0.004618,12.04,1,-0.0295,4.52
-0.005094,12.00,1,-0.0341,4.52
-0.005519,11.95,1,-0.0376,4.53
-0.005909,11.90,1,-0.0401,4.53
-0.006324,11.86,1,-0.0417,4.53
-0.006348,11.81,1,-0.0426,4.53
-0.006320,11.77,1,-0.0427,4.53
-0.006187,11.72,1,-0.0421,4.53
-0.005962,11.67,1,-0.0409,4.52
-0.005660,11.63,1,-0.0393,4.52
-0.005335,11.58,1,-0.0375,4.51
-0.005059,11.53,1,-0.0354,4.51
-0.004776,11.49,1,-0.0332,4.52
-0.004487,11.44,1,-0.0311,4.55
-0.004125,11.39,1,-0.0290,4.57
-0.003794,11.35,0,-0.0268,4.54
-0.003505,11.30,0,-0.0246,4.47
-0.003215,11.25,0,-0.0224,4.40
-0.002924,11.21,0,-0.0203,4.33
-0.002593,11.16,0,-0.0182,4.28
-0.002265,11.12,0,-0.0161,4.22
-0.001982,11.07,0,-0.0140,4.17
-0.001706,11.02,0,-0.0119,4.12
-0.001451,10.98,0,-0.0099,4.11
-0.001058,10.93,0,-0.0080,4.10
-0.000803,10.88,0,-0.0063,4.10
-0.000589,10.84,0,-0.0047,4.11
-0.000408,10.79,0,0.0000,4.11
-0.000251,10.74,0,0.0000,4.11
-0.000183,10.70,0,0.0000,4.11
-0.000152,10.65,0,0.0000,4.11
-0.000135,10.60,0,0.0000,4.12
-0.000130,10.56,0,0.0000,4.12
-0.000119,10.51,0,0.0000,4.12
-0.000105,10.47,0,0.0000,4.12
-0.000096,10.42,0,0.0000,4.12
-0.000085,10.37,0,0.0000,4.13
-0.000075,10.33,0,0.0000,4.13
-0.000063,10.28,0,0.0000,4.13
-0.000051,10.23,0,0.0000,4.13
-0.000045,10.19,0,0.0000,4.13
-0.000035,10.14,0,0.0000,4.13
-0.000020,10.09,0,0.0000,4.14
-0.000007,10.05,0,0.0000,4.14
0.000005,10.00,0,0.0000,4.14
0.000015,9.96,0,0.0000,4.14
