# Trazado en planta EDITADO a mano (alignment_editor):
# rectas + circulos + clotoides; rasante conservada
# kappa_1pm,elev_m,kerb,peralte_rad (seg 4.0 m)
0.000000,-46.06,0,0.0000
0.000000,-45.82,0,0.0000
0.000000,-45.58,0,0.0000
0.000000,-45.35,0,0.0000
0.000000,-45.12,0,0.0000
0.000000,-44.89,0,0.0000
0.000000,-44.66,0,0.0000
0.000000,-44.44,0,0.0000
0.000000,-44.21,0,0.0000
0.000000,-43.97,0,0.0000
0.000000,-43.72,0,0.0000
0.000000,-43.47,0,0.0000
0.000000,-43.22,0,0.0000
0.000000,-42.95,0,0.0000
0.000000,-42.68,0,0.0000
0.000000,-42.40,0,0.0000
0.000000,-42.12,0,0.0000
0.000000,-41.83,0,0.0000
-0.000006,-41.53,0,0.0000
-0.000162,-41.23,0,0.0000
-0.000318,-40.91,0,0.0000
-0.000475,-40.60,0,0.0000
-0.000631,-40.27,0,-0.0044
-0.000788,-39.94,0,-0.0055
-0.000944,-39.60,0,-0.0066
-0.001100,-39.26,0,-0.0077
-0.001257,-38.90,0,-0.0085
-0.001413,-38.54,0,-0.0093
-0.001519,-38.18,0,-0.0098
-0.001519,-37.81,0,-0.0103
-0.001519,-37.43,0,-0.0105
-0.001519,-37.04,0,-0.0106
-0.001519,-36.65,0,-0.0106
-0.001519,-36.25,0,-0.0106
-0.001519,-35.87,0,-0.0106
-0.001519,-35.49,0,-0.0106
-0.001519,-35.14,0,-0.0106
-0.001519,-34.79,0,-0.0106
-0.001519,-34.47,0,-0.0106
-0.001519,-34.15,0,-0.0106
-0.001519,-33.85,0,-0.0106
-0.001519,-33.56,0,-0.0106
-0.001519,-33.29,0,-0.0106
-0.001519,-33.03,0,-0.0106
-0.001519,-32.79,0,-0.0106
-0.001519,-32.56,0,-0.0106
-0.001519,-32.34,0,-0.0106
-0.001519,-32.14,0,-0.0105
-0.001519,-31.95,0,-0.0104
-0.001483,-31.78,0,-0.0101
-0.001426,-31.62,0,-0.0099
-0.001369,-31.47,0,-0.0096
-0.001312,-31.34,0,-0.0092
-0.001255,-31.21,0,-0.0088
-0.001198,-31.07,0,-0.0084
-0.001141,-30.92,0,-0.0080
-0.001084,-30.77,0,-0.0076
-0.001026,-30.62,0,-0.0072
-0.000969,-30.46,0,-0.0068
-0.000912,-30.30,0,-0.0064
-0.000855,-30.14,0,-0.0060
-0.000798,-29.97,0,-0.0056
-0.000741,-29.79,0,-0.0052
-0.000684,-29.61,0,-0.0048
-0.000627,-29.43,0,-0.0044
